left_out_item_id,accuracy_change,G,C,D
sample_104,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_12,0.13131313131313127,0.13636363636363635,0.0674860853432282,0.12121212121212122
sample_122,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_124,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_133,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_14,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_147,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_156,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_166,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_18,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_189,0.1262626262626263,0.12878787878787884,0.06320861678004541,0.12121212121212122
sample_190,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_193,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_195,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_202,0.1262626262626263,0.1338383838383838,0.06764069264069261,0.12121212121212122
sample_210,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_224,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_234,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_241,0.14141414141414144,0.1338383838383838,0.0588280766852195,0.1111111111111111
sample_249,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_253,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_257,0.1262626262626263,0.12878787878787884,0.06320861678004541,0.12121212121212122
sample_262,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_272,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_279,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_287,0.1262626262626263,0.1338383838383838,0.06764069264069261,0.12121212121212122
sample_302,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_306,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_311,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_351,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_352,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_359,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_370,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_374,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_391,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_397,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_399,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_4,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_40,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_403,0.1262626262626263,0.12878787878787884,0.06320861678004541,0.12121212121212122
sample_404,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_406,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_41,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_410,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_414,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_415,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_417,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_422,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_432,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_442,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_448,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_452,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_477,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_485,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_489,0.12121212121212133,0.12373737373737376,0.060786435786435805,0.1111111111111111
sample_491,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_492,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_494,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_520,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_529,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_536,0.1262626262626263,0.1338383838383838,0.06764069264069261,0.12121212121212122
sample_538,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_543,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_560,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_564,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_571,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_575,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_584,0.13131313131313138,0.13383838383838387,0.06563079777365496,0.12121212121212122
sample_603,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
sample_61,0.13131313131313138,0.1338383838383838,0.0642908678622964,0.12121212121212122
