candidate_count,p_safe,candidate_algebraic_probability,reserve_probability,independence_product_estimate,frechet_lower_bound,frechet_upper_bound,assumption
12,0.6,0.01972,0.08344332287999998,0.0016455023271935995,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.65,0.01972,0.15128757833526738,0.0029833910447714727,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.7,0.01972,0.2528153478549999,0.0049855186597005975,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.75,0.01972,0.39067500829696655,0.007704111163616181,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.775,0.01972,0.4716820186853191,0.009301569408474493,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.8,0.01972,0.5583457484800002,0.011010578160025604,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.85,0.01972,0.7358180862234508,0.01451033266032645,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
12,0.9,0.01972,0.889130022255,0.017533644038868604,0.0,0.01972,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.6,0.20842,0.527174113591296,0.1098736287546979,0.0,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.65,0.20842,0.6881463432989903,0.14342346087037555,0.0,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.7,0.20842,0.8246866306931244,0.17188118756906098,0.03310663069312447,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.75,0.20842,0.9204427481163293,0.19183867756240536,0.12886274811632936,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.775,0.20842,0.9517953024063877,0.1983731769275393,0.1602153024063877,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.8,0.20842,0.973342668488704,0.20286407896641567,0.18176266848870393,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.85,0.20842,0.9944137391243274,0.2072557115082923,0.20283373912432734,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
16,0.9,0.20842,0.9994954655076524,0.2083148449211049,0.2079154655076525,0.20842,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.6,0.47182,0.8139079785845883,0.38401806245578046,0.2857279785845883,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.65,0.47182,0.9125263996298264,0.4305482058733447,0.3843463996298264,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.7,0.47182,0.967446643118699,0.4564606751562646,0.4392666431186991,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.75,0.47182,0.9910967206960777,0.4676192547588234,0.4629167206960778,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.775,0.47182,0.9959981019319025,0.4699318244535103,0.46781810193190254,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.8,0.47182,0.9984208794508329,0.471074939342492,0.47024087945083304,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.85,0.47182,0.9998564926310839,0.47175229035319804,0.4716764926310839,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
19,0.9,0.47182,0.9999960701176728,0.47181814580292036,0.4718160701176728,0.47182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.6,0.70999,0.9448935305480063,0.670864957753779,0.6548835305480063,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.65,0.70999,0.9820370315058339,0.697236471998827,0.6920270315058339,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.7,0.70999,0.9956722876703679,0.7069173675230845,0.7056622876703678,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.75,0.70999,0.9992995107710385,0.7094926596523297,0.7092895107710384,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.775,0.70999,0.9997682426714222,0.709825454614283,0.7097582426714222,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.8,0.70999,0.9999352060294432,0.7099439969288444,0.7099252060294432,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.85,0.70999,0.9999974774905129,0.7099882090434892,0.7099874774905128,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
22,0.9,0.70999,0.9999999792667288,0.7099899852795848,0.7099899792667288,0.70999,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.6,0.82182,0.978341948670397,0.8040209802563056,0.800161948670397,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.65,0.82182,0.9945114969491301,0.8173094384227341,0.8163314969491302,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.7,0.82182,0.9990165335841982,0.8210117676301657,0.8208365335841981,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.75,0.82182,0.9998883477204785,0.8217282419236437,0.8217083477204785,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.775,0.82182,0.9999699493790418,0.8217953037986842,0.8217899493790419,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.8,0.82182,0.999993335713868,0.8218145231563709,0.8218133357138679,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.85,0.82182,0.9999998530519334,0.8218198792351399,0.8218198530519334,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
24,0.9,0.82182,0.9999999994600571,0.8218199995562642,0.821819999460057,0.82182,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.6,0.94355,0.9973297946935304,0.9410305277830806,0.9408797946935303,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.65,0.94355,0.9995950849406904,0.9431679423957884,0.9431450849406904,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.7,0.94355,0.9999601820327169,0.94351242975697,0.9435101820327167,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.75,0.94355,0.9999977902320619,0.943547914973462,0.9435477902320619,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.775,0.94355,0.999999607486792,0.9435496296441626,0.943549607486792,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.8,0.94355,0.9999999453641587,0.9435499484483519,0.9435499453641587,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.85,0.94355,0.999999999615193,0.9435499996369154,0.943549999615193,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
28,0.9,0.94355,0.9999999999997184,0.9435499999997343,0.9435499999997186,0.94355,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.6,0.98399,0.9997385316670603,0.9837327177750707,0.9837285316670603,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.65,0.98399,0.9999764511304327,0.9839668281478344,0.9839664511304327,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.7,0.98399,0.9999987366924222,0.9839887569179766,0.9839887366924223,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.75,0.98399,0.9999999658926898,0.9839899664387479,0.9839899658926898,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.775,0.98399,0.999999996009939,0.98398999607382,0.9839899960099392,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.8,0.98399,0.999999999652055,0.9839899996576257,0.9839899996520551,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.85,0.98399,0.9999999999992198,0.9839899999992324,0.9839899999992199,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
32,0.9,0.98399,0.9999999999999999,0.9839899999999999,0.9839899999999999,0.98399,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.6,0.99435,0.9999784531430845,0.9943285748828261,0.9943284531430845,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.65,0.99435,0.9999988521383423,0.9943488586237605,0.9943488521383421,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.7,0.99435,0.9999999665162749,0.9943499667054578,0.9943499665162747,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.75,0.99435,0.9999999995613781,0.9943499995638563,0.994349999561378,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.775,0.99435,0.9999999999662441,0.9943499999664348,0.9943499999662442,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.8,0.99435,0.9999999999981578,0.9943499999981682,0.9943499999981578,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.85,0.99435,0.9999999999999987,0.9943499999999986,0.9943499999999985,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
36,0.9,0.99435,1.0,0.99435,0.9943499999999998,0.99435,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
40,0.6,0.99631,0.9999984464516313,0.9963084521842248,0.9963084464516312,0.99631,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
40,0.65,0.99631,0.9999999511665187,0.9963099513467143,0.9963099511665188,0.99631,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
40,0.7,0.99631,0.999999999226945,0.9963099992297977,0.9963099992269451,0.99631,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
40,0.75,0.99631,0.9999999999950945,0.9963099999951126,0.9963099999950944,0.99631,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
40,0.775,0.99631,0.9999999999997519,0.9963099999997528,0.996309999999752,0.99631,product assumes independence; Frechet bounds require no algebraic-safety dependence assumption
