left_out_item_id,accuracy_change,G,C,D,G_norm
gate10_charcount_000,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_001,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_002,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_003,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_004,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_005,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_006,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_007,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_008,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_009,-0.027638190954773822,-0.015075376884422106,-0.011154256129130496,-0.020100502512562814,-0.3333333333333332
gate10_charcount_010,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_011,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_012,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_013,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_014,-0.027638190954773822,-0.015075376884422106,-0.011154256129130496,-0.020100502512562814,-0.3333333333333332
gate10_charcount_015,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_016,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_017,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_018,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_019,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_020,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_021,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_022,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_023,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_024,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_025,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_026,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_027,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_028,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_029,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_030,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_031,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_032,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_033,-0.027638190954773934,-0.016331658291457288,-0.012480330947667637,-0.02512562814070352,-0.40625
gate10_charcount_034,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_035,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_036,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_037,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_038,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_039,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_040,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_041,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_042,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_043,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_044,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_045,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_046,-0.027638190954773822,-0.015075376884422106,-0.011154256129130496,-0.020100502512562814,-0.3333333333333332
gate10_charcount_047,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_048,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_049,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_050,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_051,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_052,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_053,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_054,-0.025125628140703515,-0.013819095477386932,-0.01023425206842292,-0.02512562814070352,-0.30555555555555547
gate10_charcount_055,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_056,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_057,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_058,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_059,-0.025125628140703515,-0.013819095477386932,-0.01023425206842292,-0.02512562814070352,-0.30555555555555547
gate10_charcount_060,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_061,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_062,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_063,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_064,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_065,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_066,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_067,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_068,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_069,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_070,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_071,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_072,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
gate10_charcount_073,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_074,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_075,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_076,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_077,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_078,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_079,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_080,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_081,-0.027638190954773822,-0.015075376884422106,-0.011154256129130496,-0.020100502512562814,-0.3333333333333332
gate10_charcount_082,-0.025125628140703515,-0.016331658291457288,-0.012689711182173494,-0.02512562814070352,-0.3611111111111111
gate10_charcount_083,-0.027638190954773822,-0.016331658291457288,-0.012340744124663721,-0.02512562814070352,-0.3611111111111111
gate10_charcount_084,-0.03015075376884413,-0.016331658291457288,-0.01207426018983808,-0.02512562814070352,-0.3611111111111111
