item_id,condition,G,C,D,rescue,damage
sample_114,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_118,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.008333333333333333,0.0,0.008333333333333333
sample_119,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_134,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_151,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_163,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_164,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_174,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_177,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_183,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_185,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_19,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_191,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_198,TEXTUAL_CAREFUL_REFERENCE,0.004166666666666667,0.0017857142857142854,0.0,0.004166666666666667,0.0
sample_2,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_208,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_211,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_214,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_215,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_216,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_222,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_226,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_228,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_23,TEXTUAL_CAREFUL_REFERENCE,0.004166666666666667,0.0017857142857142854,0.0,0.004166666666666667,0.0
sample_235,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_237,TEXTUAL_CAREFUL_REFERENCE,0.004166666666666667,0.0017857142857142854,0.0,0.004166666666666667,0.0
sample_239,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_259,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_263,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_267,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_271,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_282,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_288,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_297,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_30,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_301,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_303,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_305,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_309,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_313,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_319,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.002415966386554622,0.0,0.0,0.0
sample_334,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_338,TEXTUAL_CAREFUL_REFERENCE,0.004166666666666667,0.0017857142857142854,0.0,0.004166666666666667,0.0
sample_341,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_344,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_345,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_349,TEXTUAL_CAREFUL_REFERENCE,0.004166666666666667,0.0017857142857142854,0.0,0.004166666666666667,0.0
sample_362,TEXTUAL_CAREFUL_REFERENCE,-0.0020833333333333333,-0.0032913165266106443,-0.008333333333333333,0.0020833333333333333,0.0020833333333333333
sample_364,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_365,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_372,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_373,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_378,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_379,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_384,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_388,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_389,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_39,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_390,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_408,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_416,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_421,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_424,TEXTUAL_CAREFUL_REFERENCE,0.008333333333333333,0.005987394957983193,0.008333333333333333,0.008333333333333333,0.0
sample_426,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
