scope,condition,metric,primary,audit,absolute_difference,match
stage_a,ALL,quartile_candidates,"[16, 18, 27]","[16, 18, 27]",0.0,True
stage_a,L0,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L0,commitment_validity,1.0,1.0,0.0,True
stage_a,L0,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L0,Q,0.0,0.0,0.0,True
stage_a,L1,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L1,commitment_validity,1.0,1.0,0.0,True
stage_a,L1,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L1,Q,0.0,0.0,0.0,True
stage_a,L2,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L2,commitment_validity,1.0,1.0,0.0,True
stage_a,L2,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L2,Q,0.0,0.0,0.0,True
stage_a,L3,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L3,commitment_validity,1.0,1.0,0.0,True
stage_a,L3,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L3,Q,0.0,0.0,0.0,True
stage_a,L4,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L4,commitment_validity,1.0,1.0,0.0,True
stage_a,L4,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L4,Q,0.0,0.0,0.0,True
stage_a,L5,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L5,commitment_validity,1.0,1.0,0.0,True
stage_a,L5,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L5,Q,0.0,0.0,0.0,True
stage_a,L6,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L6,commitment_validity,1.0,1.0,0.0,True
stage_a,L6,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L6,Q,0.0,0.0,0.0,True
stage_a,L7,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L7,commitment_validity,1.0,1.0,0.0,True
stage_a,L7,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L7,Q,0.0,0.0,0.0,True
stage_a,L8,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L8,commitment_validity,1.0,1.0,0.0,True
stage_a,L8,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L8,Q,0.0,0.0,0.0,True
stage_a,L9,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L9,commitment_validity,1.0,1.0,0.0,True
stage_a,L9,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L9,Q,0.08333333333333333,0.08333333333333333,0.0,True
stage_a,L10,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L10,commitment_validity,1.0,1.0,0.0,True
stage_a,L10,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L10,Q,0.0,0.0,0.0,True
stage_a,L11,accuracy,0.3333333333333333,0.3333333333333333,0.0,True
stage_a,L11,commitment_validity,1.0,1.0,0.0,True
stage_a,L11,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L11,Q,0.08333333333333333,0.08333333333333333,0.0,True
stage_a,L12,accuracy,0.3333333333333333,0.3333333333333333,0.0,True
stage_a,L12,commitment_validity,1.0,1.0,0.0,True
stage_a,L12,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L12,Q,0.08333333333333333,0.08333333333333333,0.0,True
stage_a,L13,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L13,commitment_validity,1.0,1.0,0.0,True
stage_a,L13,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L13,Q,0.16666666666666666,0.16666666666666666,0.0,True
stage_a,L14,accuracy,0.4166666666666667,0.4166666666666667,0.0,True
stage_a,L14,commitment_validity,1.0,1.0,0.0,True
stage_a,L14,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L14,Q,0.25,0.25,0.0,True
stage_a,L15,accuracy,0.5,0.5,0.0,True
stage_a,L15,commitment_validity,0.9166666666666666,0.9166666666666666,0.0,True
stage_a,L15,semantic_evaluability,0.9166666666666666,0.9166666666666666,0.0,True
stage_a,L15,Q,0.5,0.5,0.0,True
stage_a,L16,accuracy,0.5,0.5,0.0,True
stage_a,L16,commitment_validity,1.0,1.0,0.0,True
stage_a,L16,semantic_evaluability,1.0,1.0,0.0,True
stage_a,L16,Q,0.5833333333333334,0.5833333333333334,0.0,True
stage_a,L17,accuracy,0.5,0.5,0.0,True
stage_a,L17,commitment_validity,1.0,1.0,0.0,True
stage_a,L17,semantic_evaluability,1.0,1.0,0.0,True
